"asc_NonStop","asc_1Stop","asc_1StopChange","mu_log_StopPenaltyHours","sigma_log_StopPenaltyHours","b_Fare","b_Legroom2","b_Legroom3","b_Legroom4","mu_log_DiffTime","sigma_log_DiffTime","logLike"
0,0,0,-3,-0.01,0,0,0,0,-3,-0.01,-3068.92377416836
0,0,0,-3,-0.01,0,0,0,0,-3,-0.01,-3068.92377416836
0,-0.000237402203834861,-0.00025985095020508,-2.99996779077552,-0.0100003273069216,-0.0272925900047326,5.5750577243929e-07,6.25053848329794e-07,4.66034249665547e-05,-2.99998430622886,-0.010000162289016,-2990.29127570241
0,-3.63127456593517,-4.19005588226604,-2.49288833594987,-0.0152020615174832,-0.0277651904850424,0.0908567402612648,-0.050273455202633,0.667294426889732,-2.72113444653121,-0.0130883097903433,-2569.3095688124
0,-2.9995743223011,-4.65558813421521,-2.94277036446252,-0.00593389859573574,-0.0278496665495308,0.833915736299535,0.956839164314063,2.5600596070169,-1.4380310164027,-0.0416606681139991,-2553.94446872817
0,-3.16555680726177,-4.49525167451706,-3.03257332861233,-0.00435484772756742,-0.0277752251868794,1.15716220092652,1.28244521218594,2.70136261671503,-1.31427675044964,-0.0926441101428876,-2530.11282266748
0,-3.73495764929217,-3.7917638256385,-3.86559048463396,0.00949712216035211,-0.0272710295140753,3.77083747363622,3.73555205976378,4.33956890556606,-2.70826941117254,-2.16498368892055,-2511.58537882009
0,-3.79263557282332,-3.71032507202885,-3.97863786334798,0.0113682184379041,-0.0272568853748471,3.90259340354611,3.88155846667616,4.33957608602528,-2.60263283311108,-2.69817861050909,-2508.51578029335
0,-3.4835166010098,-3.52304852822567,-5.81247025305164,0.0435381028860155,-0.0275846851565663,2.20702249471828,3.08489857632767,2.36400400930392,-2.36904331317793,-2.25323211257308,-2240.05164548262
0,-3.54634617311794,-3.12289227755774,-6.61072676086198,0.0578319960937865,-0.0277762671700581,1.79502481010577,1.69826466140458,1.81833219657714,-2.20534941364065,-2.01554744456503,-2116.10349730122
0,-3.23577756347102,-3.19833543427294,-5.96594809730185,0.0482563088082657,-0.0279610291549758,1.95859878428196,1.48600492972174,1.46882997143012,-2.10598268934417,-1.90488312957723,-2097.47628739119
0,-2.58689836610807,-2.62959350224994,-2.38539348771261,-0.00556131021963911,-0.0277987415100379,1.04437882520553,0.886812306600008,1.00767859036478,-1.83355793690083,-1.5087237244906,-1986.65232507925
0,-1.95125684585729,-2.18962303809261,-3.59653308522674,-0.0235787408141144,-0.0258087403529827,-0.27086479138217,-0.00530983733691615,0.173952320147336,-2.3305770831594,-1.2308523958583,-1947.05931875931
0,-2.09399650242031,-2.38105850059161,-3.13790704639203,-0.0434388324425532,-0.0252516861639926,0.410289084011839,0.569571956775417,0.900428450752953,-2.52317650083084,-1.54030947084093,-1910.20544565468
0,-1.9623131925286,-2.21182186362598,-2.48842422440287,-0.0617009316972189,-0.0236175390460589,0.495804180776721,0.544351774392864,0.794097933756522,-2.67995902554586,-1.61304198565847,-1897.76974485144
