"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_NonStop",0,NA,NA,NA,NA,NA,NA
"asc_1Stop",-1.36134500137415,0.107431965127842,-12.6716941252464,0,0.106029978077664,-12.8392462778499,0
"asc_1StopChange",-1.56575772938023,0.108809172149268,-14.3899424878656,0,0.10688443629048,-14.649071312169,0
"b_StopPenaltyHours",-0.34114046189063,0.0739853036953638,-4.61092196492541,4.00887015206131e-06,0.0742261406102152,-4.59596119488504,4.30758868219527e-06
"b_Fare",-0.0193137352901388,0.000762944048358445,-25.3147466471418,0,0.000885333123036106,-21.815218235488,0
"b_Legroom2",0.379657662065326,0.0873027297048835,4.34874904082282,1.36916279367405e-05,0.0893179146064648,4.25063285163004,2.13167350706644e-05
"b_Legroom3",0.427432152896413,0.086117476627319,4.96336132497429,6.92835152360516e-07,0.0899615990409289,4.75127340391035,2.02139596128248e-06
"b_Legroom4",0.658979217838121,0.0875686940089176,7.52528315394327,5.26245713672324e-14,0.0928093668226965,7.10035247947589,1.24433796599988e-12
"b_DiffTime",-0.108220331873011,0.0113983622633676,-9.49437554031883,0,0.012094424334105,-8.94795228639702,0
