"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_NonStop",0,NA,NA,NA,NA,NA,NA
"asc_1Stop",-1.36015090610101,0.107925861068584,-12.6026412264311,0,0.106371829455468,-12.7867586095285,0
"asc_1StopChange",-1.85870987430201,0.137598784906745,-13.5081852326074,0,0.138107483888391,-13.458429782155,0
"asc_1StopChange_Shift_Income",0.470033750307783,0.12497580038293,3.76099812017675,0.000169236701978326,0.12702484617557,3.7003292226634,0.000215319942657999
"b_StopPenaltyHours",-0.265350932289163,0.0761324182797627,-3.4853868862287,0.000491425945117419,0.0759611848819722,-3.49324372311283,0.000477190768675584
"b_StopPenaltyHours_Shift_Business",-0.312988749792831,0.0801664309077252,-3.90423705095582,9.45230988944612e-05,0.0833789787751768,-3.75380886634237,0.000174167688427485
"b_Fare",-0.0195091435794211,0.000769904341624527,-25.3396980958129,0,0.000896178650203797,-21.7692572513132,0
"b_Legroom2",0.384410295819342,0.0877419172000318,4.38114766677565,1.1805582514457e-05,0.0897677063084769,4.28227824489976,1.84989456002427e-05
"b_Legroom3",0.42430098719852,0.086394390989951,4.91120988685333,9.05161350761574e-07,0.0897449691161965,4.72785261811344,2.26906785116832e-06
"b_Legroom4",0.669598542381988,0.0880520206794428,7.60457894339178,2.8643754035329e-14,0.0929723763232353,7.20212356468128,5.92859095149834e-13
"b_DiffTime",-0.109132764746402,0.0114755146806569,-9.51005403969865,0,0.0122146839217752,-8.93455495412779,0
